incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
753180273,2016-00005227,03/18/2016 10:55:00 AM,HIT AND RUN,HIT AND RUN,,500 Block ALBEMARLE ST,,EL CERRITO,CA,94530,,37.9053,-122.297,03/19/2016 04:45:29 AM,09/19/2016 02:52:32 AM,POINT (-122.297 37.9053),10,Friday,Traffic
753180272,2016-00005213,03/18/2016 11:19:00 AM,ACCIDENT,ACCIDENT,,SAN PABLO AVE,,EL CERRITO,CA,,,37.9236,-122.317,03/19/2016 04:45:29 AM,09/19/2016 02:52:31 AM,POINT (-122.317 37.9236),11,Friday,Traffic
756948197,2016-00007277,04/16/2016 12:40:00 PM,ACCIDENT,ACCIDENT,,SAN DIEGO ST,,EL CERRITO,CA,,,37.9004,-122.306,04/17/2016 04:49:44 AM,10/13/2016 07:19:44 AM,POINT (-122.306 37.9004),12,Saturday,Traffic
756948198,2016-00007290,04/16/2016 05:14:43 PM,HIT AND RUN,HIT AND RUN,,400 Block SEAVIEW DR,,EL CERRITO,CA,,,37.9076,-122.289,04/17/2016 04:49:44 AM,10/13/2016 07:19:44 AM,POINT (-122.289 37.9076),17,Saturday,Traffic
757144332,2016-00007403,04/18/2016 02:37:11 PM,ACCIDENT,ACCIDENT,,RICHMOND ST,,EL CERRITO,CA,,,37.9036,-122.299,04/19/2016 04:50:08 AM,10/15/2016 07:13:46 AM,POINT (-122.299 37.9036),14,Monday,Traffic
757463089,2016-00007536,04/20/2016 08:11:00 AM,ACCIDENT,ACCIDENT,,11300 Block SAN PABLO AVE,,EL CERRITO,CA,,,37.9209,-122.315,04/21/2016 04:50:29 AM,10/17/2016 07:18:59 AM,POINT (-122.315 37.9209),8,Wednesday,Traffic
757463090,2016-00007537,04/20/2016 08:20:00 AM,ACCIDENT,ACCIDENT,,JEFFERSON AVE & SAN PABLO AVE,,EL CERRITO,CA,94530,,37.9170791,-122.3126818,04/21/2016 04:50:29 AM,10/17/2016 07:19:00 AM,POINT (-122.3126818 37.9170791),8,Wednesday,Traffic
757674484,2016-00007656,04/22/2016 07:37:12 AM,ACCIDENT,ACCIDENT,,11700 Block SAN PABLO AVE,,EL CERRITO,CA,,,37.9272,-122.32,04/23/2016 04:50:44 AM,10/18/2016 07:13:52 AM,POINT (-122.32 37.9272),7,Friday,Traffic
766856935,2016-00014485,07/30/2016 02:10:00 PM,PC 496 RECEIVE/ETC STOLEN PROP -$400,PC 496 RECEIVE/ETC STOLEN PROP -$400,,11700 Block SAN PABLO AVE,,EL CERRITO,CA,,,37.9272,-122.32,08/04/2016 05:06:39 AM,09/17/2016 10:38:37 PM,POINT (-122.32 37.9272),14,Saturday,Theft
770604161,2016-00016096,08/19/2016 10:53:00 PM,VC 23152 A DUI:ALCOHOL/DRUGS,VC 23152 A DUI:ALCOHOL/DRUGS,,8000 Block EL CERRITO PLZ,,EL CERRITO,CA,,,37.9012,-122.3,09/01/2016 05:11:05 AM,09/23/2016 11:50:07 PM,POINT (-122.3 37.9012),22,Friday,Traffic
769432880,2016-00016180,08/20/2016 11:35:00 PM,VC 23152 A DUI:ALCOHOL/DRUGS,VC 23152 A DUI:ALCOHOL/DRUGS,,CARLSON BLVD & SAN DIEGO ST,,EL CERRITO,CA,,,37.9011,-122.304,08/24/2016 05:09:36 AM,09/23/2016 11:50:07 PM,POINT (-122.304 37.9011),23,Saturday,Traffic
831501675,2018-00000813,01/12/2018 12:18:26 PM,ACCIDENT,ACCIDENT,,11900 Block SAN PABLO AVE,,RICHMOND,CA,94530,,37.930281,-122.32248,01/13/2018 08:10:12 AM,07/11/2018 12:02:04 AM,POINT (-122.32248 37.930281),12,Friday,Traffic
755501423,2016-00005914,03/29/2016 06:40:00 AM,PC 451 ARSON-SINGLE RESIDENTIAL,PC 451 ARSON-SINGLE RESIDENTIAL,,5200 Block POTRERO AVE,,EL CERRITO,CA,,,37.921,-122.32,04/02/2016 04:47:36 AM,02/16/2017 08:13:57 AM,POINT (-122.32 37.921),6,Tuesday,Arson
818563002,2017-00018787,09/14/2017 01:06:55 PM,ACCIDENT,ACCIDENT,,9900 Block SAN PABLO AVE,,EL CERRITO,CA,,,37.8996,-122.302,09/15/2017 07:10:16 AM,03/13/2018 07:47:55 PM,POINT (-122.302 37.8996),13,Thursday,Traffic
818563003,2017-00018798,09/14/2017 02:18:00 PM,ACCIDENT,ACCIDENT,,CARLSON BLVD,,EL CERRITO,CA,,,37.9005,-122.304,09/15/2017 07:10:16 AM,03/13/2018 08:30:15 PM,POINT (-122.304 37.9005),14,Thursday,Traffic
